a,b,h1,h2,h3,o,t,delta_h1,delta_h2,delta_h3,delta_o,w_bias_h1,w_a_h1,w_b_h1,w_bias_h2,w_a_h2,w_b_h2,w_bias_h3,w_a_h3,w_b_h3,w_bias_o,w_h1_o,w_h2_o,w_h3_o
-,-,-,-,-,-,-,-,-,-,-,   0.20000,  -0.30000,   0.40000,  -0.50000,  -0.10000,  -0.40000,   0.30000,   0.20000,   0.10000,  -0.10000,   0.10000,   0.30000,  -0.40000
   0.64436,   0.35336,   0.53694,   0.33053,   0.61401,   0.45196,   1.00000,   0.00338,   0.00901,  -0.01287,   0.13575,   0.20068,  -0.29957,   0.40024,  -0.49820,  -0.09884,  -0.39936,   0.29743,   0.19834,   0.09909,  -0.07285,   0.11458,   0.30897,  -0.38333
   2.79224,   2.87836,   0.62627,   0.12745,   0.75703,   0.43735,   1.00000,   0.00371,   0.00476,  -0.00976,   0.13845,   0.20142,  -0.29749,   0.40238,  -0.49725,  -0.09618,  -0.39662,   0.29547,   0.19289,   0.09347,  -0.04516,   0.13192,   0.31250,  -0.36237
  -0.20608,   1.98697,   0.74312,   0.22003,   0.60860,   0.47529,   1.00000,   0.00330,   0.00702,  -0.01130,   0.13086,   0.20208,  -0.29763,   0.40369,  -0.49584,  -0.09647,  -0.39384,   0.29321,   0.19336,   0.08898,  -0.01899,   0.15137,   0.31826,  -0.34644
   2.26616,   1.44211,   0.52741,   0.21714,   0.70260,   0.47167,   1.00000,   0.00497,   0.00712,  -0.00953,   0.13166,   0.20307,  -0.29538,   0.40512,  -0.49442,  -0.09324,  -0.39178,   0.29131,   0.18904,   0.08623,   0.00734,   0.16526,   0.32398,  -0.32794
   3.53759,   9.20784,   0.94727,   0.01175,   0.85246,   0.47206,   0.00000,  -0.00097,  -0.00044,   0.00485,  -0.11765,   0.20288,  -0.29606,   0.40333,  -0.49451,  -0.09356,  -0.39260,   0.29228,   0.19247,   0.09517,  -0.01619,   0.14297,   0.32370,  -0.34800
   1.36750,   4.32532,   0.82383,   0.08944,   0.72454,   0.46964,   0.00000,  -0.00243,  -0.00308,   0.00812,  -0.11698,   0.20239,  -0.29673,   0.40123,  -0.49512,  -0.09440,  -0.39526,   0.29390,   0.19469,   0.10220,  -0.03958,   0.12369,   0.32161,  -0.36495
   3.01712,   5.25055,   0.80437,   0.05441,   0.80501,   0.44612,   0.00000,  -0.00215,  -0.00182,   0.00631,  -0.11023,   0.20196,  -0.29802,   0.39898,  -0.49549,  -0.09550,  -0.39718,   0.29517,   0.19850,   0.10883,  -0.06163,   0.10596,   0.32041,  -0.38270
   0.20865,   1.43744,   0.67113,   0.25231,   0.62082,   0.46325,   1.00000,   0.00312,   0.00807,  -0.01202,   0.13346,   0.20259,  -0.29789,   0.39987,  -0.49387,  -0.09516,  -0.39486,   0.29276,   0.19800,   0.10537,  -0.03494,   0.12387,   0.32715,  -0.36612
   3.93701,   1.23677,   0.38328,   0.20475,   0.76899,   0.44967,   0.00000,  -0.00326,  -0.00593,   0.00724,  -0.11128,   0.20193,  -0.30046,   0.39907,  -0.49506,  -0.09983,  -0.39633,   0.29421,   0.20370,   0.10716,  -0.05719,   0.11534,   0.32259,  -0.38324
   0.17704,   7.81498,   0.96330,   0.02634,   0.76274,   0.44278,   0.00000,  -0.00045,  -0.00090,   0.00758,  -0.10924,   0.20184,  -0.30047,   0.39837,  -0.49524,  -0.09986,  -0.39774,   0.29573,   0.20397,   0.11900,  -0.07904,   0.09430,   0.32201,  -0.39990
